CAMPUS_UTILIZADO,SEDE,NACIONALIDAD,CLAVE_GENERO,CLAVE_TIPO_ADMISION_TIPO_INGRESO,AREA,CLAVE_MAJOR_PGMA_ACAD,CLAVE_ESCUELA,NOMBRE_ESCUELA,DESC_MUNICIPIO_ESCUELA,DESC_PAIS_ESCUELA,V_PROM_IND,V_PAA_IND,PERFIL,IPP,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,RUBRICA,ENSAYO,CV,V_PLDM,V_SOL_BSE,BECA_SOAF,CREDITO_SOAF,V_POSTDTA,V_POSTULADOBTE,v_becadobte,BECABTE,DISCIPLINA,V_POSBCRE,BECA_BHP,V_POSBEM,V_POSBTT,V_BHP,V_BSE,v_anybeca,POST_ANYBECA,V_BECABTE,V_ANY_BECA,PRC_BECA_F,PRC_CREDITO_F
Monterrey,MTY,Mexicana,F,N5,CIS,CIS,H46407,Centro de Enseñanza Técnica y,Tijuana,México,99.0,1323,Perfil A,1,1,Monterrey,17.0,Solicitud,108.0,23.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ciudad de México,CCM,Mexicana,M,N5,IIT,IMT,H01507,Instituto Miguel Angel A.C.,Álvaro Obregón,México,94.0,1185,Perfil A,1,1,Santa Fe,18.0,Solicitud,96.0,21.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Atletico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Hondureña,F,N5,NEG,LEM,H77911,IHCI Bilingual School,,Honduras,96.0,1193,Perfil A,0,0,Extranjero LATAM,17.0,Solicitud,98.0,23.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guadalajara,GDA,Mexicana,F,N5,ESC,LAD,H61945,IT CAMPUS SANTA ANITA,Tlajomulco de Zúñiga,México,90.0,1376,Perfil A+,1,1,Guadalajara,18.0,Marketing digital,81.0,6.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Ecuatoriana,F,N5,IBQ,IBT,H60709,UNIDAD EDUCATIVA ATENAS,,Ecuador,97.4,1380,Perfil A+,0,0,Extranjero LATAM,17.0,Solicitud,108.0,23.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Saltillo,SAL,Mexicana,F,N5,IBQ,IBT,H00130,Univ. Autónoma del Noreste,Saltillo,México,96.8,1283,Perfil A,1,1,Saltillo,16.0,Solicitud,96.0,21.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Nicaragüense,F,N5,IIT,BIE,H17023,Nicaragua Christian Academy,,Nicaragua,90.0,1450,Perfil A+,1,1,Extranjero LATAM,19.0,Solicitud,90.0,15.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Estado de México,CEM,Mexicana,M,N5,ICT,ITC,H00711,Colegio Indoamericano S.C.,Tlalnepantla de Baz,México,96.5,1176,Perfil A,1,1,Estado de México,17.0,Solicitud,100.0,15.0,25.0,0.0,1.0,0.25,0.25,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.25,0.25
Guadalajara,GDA,Mexicana,F,N5,IIT,IMT,H78006,Centro Universitario UTEG,Guadalajara,México,97.56,1222,Perfil A,1,1,,19.0,Solicitud,85.0,15.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Monterrey,MTY,Ecuatoriana,M,N5,ICT,ITC,H22695,LICEO JOSE ORTEGA Y GASSET,,Ecuador,86.58,1294,Perfil A,0,0,Extranjero LATAM,17.0,Solicitud,104.0,19.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
