SEDE,NACIONALIDAD,CLAVE_GENERO,CLAVE_TIPO_ADMISION_TIPO_INGRESO,CLAVE_MAJOR_PGMA_ACAD,CLAVE_ESCUELA,DESC_ESTADO_ESCUELA,V_PROM_IND,V_PAA_IND,FECHA_DECISION_ADMISION_FINAL,INSCRITO,CAMPUS_APORTACION,EDAD,ORIGEN_DE_LA_SOLICITUD,PUNTAJE_EUC,BECA_SOAF,CREDITO_SOAF,V_POSTDTA,BECABTE,DISCIPLINA,V_BHP,POST_ANYBECA,TIPO_BECA_F,V_ANY_BECA,PRC_BECA_F,PRC_CREDITO_F,ESTADO_BSE,ESTADO_BTE
GDA,Mexicana,M,P5,LAF,H00177,Jalisco,90.16,0,2023-11-09T00:00:00.000Z,1,Guadalajara,17.0,Solicitud,24.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
HER,Mexicana,M,P5,IDM,H00174,Sonora,98.86,1505,2023-10-27T00:00:00.000Z,1,Sonora Norte,17.0,Base de datos,50.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
TOL,Mexicana,F,P5,ICT,H00163,Estado de México,86.55,0,2024-01-18T00:00:00.000Z,1,Toluca,17.0,Solicitud,50.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,P5,IDM,H00229,Nuevo León,90.16,1381,2023-09-14T00:00:00.000Z,1,Monterrey,17.0,Base de datos,45.0,0.3,0.2,1.0,0.0,No aplica,0.0,1.0,Tradicional,1.0,0.3,0.2,2.0,0.0
CCM,Mexicana,M,O5,MC,H00166,Coahuila,92.76,1404,2023-12-13T00:00:00.000Z,1,Laguna,18.0,Solicitud,50.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,P5,BIE,H13917,Nuevo León,96.96,1249,2023-12-04T00:00:00.000Z,1,Monterrey,17.0,Solicitud,50.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,O5,IIS,H19021,Nuevo León,91.16,1328,2023-10-12T00:00:00.000Z,1,Monterrey,18.0,Solicitud,50.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,P5,IQ,H13917,Nuevo León,88.5,0,2023-11-29T00:00:00.000Z,1,Monterrey,18.0,Solicitud,50.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CSF,Mexicana,M,O5,LEC,H00168,Estado de México,85.56,0,2024-01-30T00:00:00.000Z,1,Estado de México,18.0,Base de datos,49.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
CCM,Mexicana,F,P5,ICI,H00165,Ciudad de México,96.5,1395,2023-11-21T00:00:00.000Z,1,Ciudad de México,18.0,Solicitud,39.0,0.0,0.0,1.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,M,P5,BFI,H13917,Nuevo León,87.96,0,2023-12-12T00:00:00.000Z,1,Monterrey,18.0,Base de datos,50.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
LEO,Mexicana,M,P5,LAE,H00162,Guanajuato,85.8,0,2023-11-08T00:00:00.000Z,1,León,17.0,Base de datos,39.0,0.35,0.25,0.0,0.0,No aplica,0.0,1.0,Sin beca,0.0,0.0,0.0,1.0,0.0
SLP,Mexicana,M,P5,LIN,H00159,San Luis Potosí,78.75,0,2024-01-29T00:00:00.000Z,1,San Luis Potosí,17.0,Solicitud,23.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
QRO,Mexicana,M,P5,CIS,H00158,Querétaro,80.75,0,2024-02-09T00:00:00.000Z,0,Querétaro,17.0,Solicitud,32.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
MTY,Mexicana,F,P5,NEG,H13917,Nuevo León,86.95,0,2024-01-02T00:00:00.000Z,0,Monterrey,18.0,Solicitud,38.0,0.0,0.0,0.0,0.0,No aplica,0.0,0.0,Sin beca,0.0,0.0,0.0,0.0,0.0
